Port,Land region,Country/territory (and subdivision),Body of water,Coordinates,Features and notes
Poti,West Asia,Georgia,Black Sea,,
Praia,Africa,Cape Verde,,,
Praia Mole,South America,Brazil Espírito Santo,,,
Progreso,North America,Mexico Yucatán,Gulf of Mexico,21.287°N 89.667°W,6th Mexico 41st North America
Providence,North America,United States Rhode Island,Narragansett Bay,41.812°N 71.398°W,[4] provport.com; US rank: 60
Provincetown,North America,United States Massachusetts,,,
Puerto Barrios,Central America,Guatemala,Caribbean Sea Gulf of Honduras,16.217°N 89°W,
Puerto Cabello,South America,Venezuela Carabobo,Caribbean Sea,,
Puerto Castilla,Caribbean,Honduras,Caribbean Sea,,
Puerto Cortés,Central America,Honduras,Caribbean Sea,15.883°N 87.95°W,
Puerto dos Bocas,North America,Mexico Tabasco,Gulf of Mexico,,
Puerto Juárez,North America,Mexico Quintana Roo Cancún,Caribbean Sea,19.583°N 88.05°W,apiqroo.com.mx
Puerto Plata,Caribbean,Dominican Republic,Caribbean Sea,,
Puerto Toro,South America,Chile Magallanes & the Chilean Antarctica,,,[10]
Punta Alta,South America,Argentina,Bahía Blanca,,
Punta del Este,South America,Uruguay,,,
Quebec City,North America,Canada Quebec,Saint Lawrence River,,
Rabat,Africa,Morocco,,,
Ramsgate,Europe,United Kingdom England,English Channel,,
Ravenna,Europe,Italy,Mediterranean Sea Adriatic Sea,,
Recife,South America,Brazil Pernambuco,,,
Regência,South America,Brazil Espírito Santo,,,
Reykjavík,Mid-Atlantic / Europe,Iceland,,,
Rhodes,Europe,Greece,Mediterranean Sea Aegean Sea,,
Richmond,North America,United States Virginia,James River,37.457°N 77.419°W,[4] US rank: 142[6]
Rio de Janeiro,South America,Brazil Rio de Janeiro,Guanabara Bay,,
Río Gallegos,South America,Argentina,Gallegos River,,
Rio Grande,South America,Brazil Rio Grande do Sul,,,
Río Lagartos,North America,Mexico Yucatán,,,
Riohacha,South America,Colombia La Guajira,,,
Roatán,Caribbean,Honduras,Caribbean Sea,,
Rørvik,Europe,Norway,,,
Rosslare Europort,Europe,Ireland,,,
Rosslare Europort,Europe,Ireland,Irish Sea,,
Rostock,Europe,Germany,,,
Runcorn,Europe,England,Irish Sea,,
Sabine,North America,United States Texas,Gulf of Mexico,,[4]
Saint John,North America,Canada New Brunswick,Bay of Fundy,45.307°N 65.978°W,sjport.com; CA rank: 2
Saint Petersburg,North America,United States Florida,,,[4]
Saint-Brieuc,Europe,France,,,
Saint-Malo,Europe,France,,,
Saint-Malo,Europe,France,English Channel,,
Saint-Nazaire,Europe,France,,,
Saldanha Bay,Africa,South Africa,,,
Salem,North America,United States New Jersey,Delaware River/Salem River,,Nearby Salem Marine Terminal and Millville Airport also owned by the South Jersey Port Corporation[7]
Salisbury,North America,United States Maryland,Chesapeake Bay Wicomico River,38.366°N 75.593°W,
Salvador,South America,Brazil Bahia,,,
Samsun,West Asia,Turkey,Black Sea,,
San Juan Puerto Rico,Caribbean,Puerto Rico,North Atlantic,,
San-Pédro,Africa,Côte d'Ivoire,,,
Sánchez Magallanes,North America,Mexico Tabasco,,,
Santa Cruz das Flores,Europe,Portugal,,,
Santa Cruz de Tenerife,Africa / European Union,Canary Islands,,,
Santa Cruz de Tenerife,Europe,Spain,,,
Santa Marta,South America,Colombia Magdalena,,,
Santander,Europe,Spain,Bay of Biscay,,
Santander,Europe,Spain Cantabria,Bay of Biscay,,
Santarém,South America,Brazil Pará,Amazon River,,
Santiago de Cuba,Caribbean,Cuba,Caribbean Sea,,
Santo Domingo,Caribbean,Dominican Republic,Caribbean Sea,18.469°N 69.883°W,
Santo Tomás de Castilla,Caribbean,Guatemala,Caribbean Sea,,
Santos,South America,Brazil São Paulo,,,
São Francisco do Sul,South America,Brazil Santa Catarina,,,
São Sebastião,South America,Brazil São Paulo,,,
Savannah,North America,United States Georgia,Savannah River,32.085°N 81.095°W,[4] US rank: 19
Scarborough,Caribbean,Trinidad and Tobago,Gulf of Paria,,
Searsport,North America,United States Maine,Penobscot Bay,44.453°N 68.925°W,[4] US rank: 106
Sept-Îles,North America,Canada Quebec,Gulf of Saint Lawrence,50.188°N 66.372°W,portsi.com CA rank: 3
Sesimbra,Europe,Portugal,Atlantic Ocean,,
Setúbal,Europe,Portugal,Atlantic Ocean,,
Setúbal,Europe,Portugal,,,
Sevastopol,Europe,Ukraine,Black Sea,,
Seville,Europe,Spain,,,
Shannon Foynes Port,Europe,Ireland,,,
Shediac,North America,Canada New Brunswick,Northumberland Strait,46.217°N 64.533°W,
Shelburne,North America,Canada Nova Scotia,Shelburne Harbour,,
Shën Gjin,Europe,Albania,Mediterranean Sea Adriatic Sea,,
Shoreham-by-Sea,Europe,United Kingdom England,English Channel,,
Sidon,West Asia,Lebanon,Mediterranean Sea Levantine Sea,,
Sines,Europe,Portugal,Atlantic Ocean,,
Sisal,North America,Mexico Yucatán,,,
Sokhumi,West Asia,Georgia,Black Sea,,
Southampton,Europe,United Kingdom England,English Channel,,
St. Augustine,North America,United States Florida,,,
St. Bernard,North America,United States Louisiana,Mississippi River,29.943°N 89.981°W,stbernardport.com ; St. Bernard Port Harbor & Terminal District
St. John's,North America,Canada Newfoundland and Labrador,,47.617°N 52.75°W,sjpa.com; Newfoundland Island; CA rank: 17
St. Peter Port,Europe,Guernsey,English Channel,,
St. Petersburg,Europe,Russia,,,
Stamford,North America,United States Connecticut,Long Island Sound,41.097°N 73.553°W,
Stanley,South America,Falkland Islands,,,
Stavanger,Europe,Norway,North Sea,,
Stornoway,Europe,United Kingdom Scotland,,,
Stranraer,Europe,United Kingdom Scotland,Irish Sea,,
Suape,South America,Brazil Pernambuco,,,
Sullom Voe,Europe,United Kingdom Scotland,North Sea,,
Sunderland,Europe,United Kingdom England,North Sea,,
Svolvær,Europe,Norway,,,
Swansea,Europe,United Kingdom Wales,Bristol Channel,,
Sydney,North America,Canada Nova Scotia,Sydney River,46.138°N 60.183°W,Cape Breton Island
Taganrog,Europe,Russia,Black Sea Sea of Azov,,
Takoradi,Africa,Ghana,,,
Tallinn,Europe,Estonia,,,
Tamiahua,North America,Mexico Veracruz,,,
Tampico,North America,Mexico Tamaulipas,Gulf of Mexico,22.383°N 97.933°W,puertodetampico.com.mx
Tangier,Africa,Morocco,,,
Tangier,Africa,Morocco,Mediterranean Sea Strait of Gibraltar,,
Tarragona,Europe,Spain,Mediterranean Sea Balearic Sea,,
Tavira,Europe,Portugal,Atlantic Ocean,,
Tecolutla,North America,Mexico Veracruz,,,
Teignmouth,Europe,United Kingdom England,English Channel,,
Tekirdağ,Europe,Turkey,Sea of Marmara,,
Tel Aviv,West Asia,Israel,Mediterranean Sea Levantine Sea,,
Terneuzen,Europe,Netherlands,North Sea,,
Tétouan,Africa,Morocco,Mediterranean Sea Alboran Sea,,
Texas City,North America,United States Texas,Gulf of Mexico Galveston Bay,29.363°N 94.918°W,[4] US rank: 11
Thamesport,Europe,United Kingdom England,North Sea,,
The Hague,Europe,Netherlands,,,
The Hague,Europe,Netherlands,North Sea,,
Thessaloniki,Europe,Greece,Mediterranean Sea Aegean Sea,,
Tórshavn,Mid-Atlantic / Europe,Faroe Islands,,,
Trabzon,West Asia,Turkey,Black Sea,,
Trenton,North America,United States New Jersey,,,
Tripoli,West Asia,Lebanon,Mediterranean Sea,,
Tripoli,Africa,Libya,Mediterranean Sea,,
Tromsø,Europe,Norway,,,
Trondheim,Europe,Norway,,,
Tubarão,South America,Brazil Espírito Santo,,,
Tunis,Africa,Tunisia,Mediterranean Sea Gulf of Tunis,,
Turbo,South America,Colombia Antioquia,,,
Tuxpan,North America,Mexico Veracruz,Gulf of Mexico,,2nd Mexico 19th North America
TVV,South America,Brazil Espírito Santo,,,
Ubu,South America,Brazil Espírito Santo,,,
Ushuaia,South America,Argentina,Beagle Channel,,
Valencia,Europe,Spain,Mediterranean Sea,,
Venice,Europe,Italy,Mediterranean Sea Adriatic Sea,,
Veracruz,North America,Mexico Veracruz,Gulf of Mexico,,apiver.com[usurped]
Viana do Castelo,Europe,Portugal,Atlantic Ocean,,
Victoria,North America,United States Texas,Gulf of Mexico via Victoria Barge Canal (Guadalupe River),28.691°N 96.972°W,US rank: 88
Vigo,Europe,Spain,,,Largest fishing port in the world
Vila do Conde,South America,Brazil Pará,Amazon River - Pará arm,,
Vila do Porto,Europe,Portugal,,,
Vila Real de Santo António,Europe,Portugal,,,
Vilagarcía de Arousa,Europe,Spain,,,
Vitória,South America,Brazil Espírito Santo,,,
Vlissingen,Europe,Netherlands,North Sea,,
Volos,Europe,Greece,Mediterranean Sea Aegean Sea,,
Wahran,Africa,Algeria,Mediterranean Sea,,
Walvis Bay,Africa,Namibia,,,
Washington DC,North America,United States District of Columbia,,,
Weddell Settlement,South America,Falkland Islands,,,
Weedon Island,North America,United States Florida,Gulf of Mexico Tampa Bay,27.859°N 82.597°W,
Wilhelmshaven,Europe,Germany,North Sea,,Includes JadeWeserPort
Willemstad,Caribbean,Curaçao,Caribbean Sea,,
Wilmington Delaware,North America,United States Delaware,Delaware River,39.716°N 75.507°W,[4] US rank: 97
Wilmington North Carolina,North America,United States North Carolina,Cape Fear River,34.239°N 77.954°W,[4] North Carolina State Ports Authority; US rank: 72
Yalta,Europe,Ukraine,Black Sea,,
Yarmouth,North America,Canada Nova Scotia,,,
Yeysk,Europe,Russia,Black Sea Sea of Azov,,
